"href","egrn","lot_n","lot_square","min_price","start_price","trade_procedure_number"
"https://tbankrot.ru/item?id=3860333","47:14:0901004:1738","89","235",36822.82,122742.72,"3860333"
"https://tbankrot.ru/item?id=3860332","47:14:0901004:1696","109","230",36039.38,120131.28,"3860332"
"https://tbankrot.ru/item?id=3860331","47:14:0901004:1770","92","275",43090.49,143634.96,"3860331"
"https://tbankrot.ru/item?id=3860330","47:14:0901004:1717","106","263",41210.21,137367.36,"3860330"
"https://tbankrot.ru/item?id=3860329","47:14:0901004:1691","103","227",35569.37,118564.56,"3860329"
"https://tbankrot.ru/item?id=3860328","47:14:0901004:1701","86","249",39016.51,130055.04,"3860328"
"https://tbankrot.ru/item?id=3860326","47:14:0901004:1745","91","258",40426.78,134755.92,"3860326"
"https://tbankrot.ru/item?id=3860324","47:14:0901004:1731","88","231",36195.98,120653.28,"3860324"
"https://tbankrot.ru/item?id=3860323","47:14:0901004:1797","85","238",37292.83,124309.44,"3860323"
"https://tbankrot.ru/item?id=3860322","47:14:0901004:1726","108",,37763.06,125876.88,"3860322"
"https://tbankrot.ru/item?id=3860317","47:14:0901004:1704","97","301",30868.56,102895.2,"3860317"
"https://tbankrot.ru/item?id=3860316","47:14:0901004:1944","94","199",31181.98,103939.92,"3860316"
"https://tbankrot.ru/item?id=3860315","47:14:0901004:1801","100","238",37292.83,124309.44,"3860315"
"https://tbankrot.ru/item?id=3860312","47:14:0901004:1790","102",,37763.06,125876.88,"3860312"
"https://tbankrot.ru/item?id=3860309","47:14:0901004:1943",,,31181.98,103939.92,"3860309"
"https://tbankrot.ru/item?id=3860308","47:14:0901004:1759","99",,45597.6,151992,"3860308"
"https://tbankrot.ru/item?id=3860307","47:14:0901004:1713","105",,38859.91,129533.04,"3860307"
"https://tbankrot.ru/item?id=3860305","47:14:0901004:1889","83","285",44657.57,148858.56,"3860305"
"https://tbankrot.ru/item?id=3860304","47:14:0901004:1739","90",,46381.03,154603.44,"3860304"
"https://tbankrot.ru/item?id=3860303","47:14:0901004:1953","96","197",30868.56,102895.2,"3860303"
"https://tbankrot.ru/item?id=3860300","47:14:0901004:1708",,,39799.94,132666.48,"3860300"
"https://tbankrot.ru/item?id=3860299","47:14:0901004:1703","87",,36039.38,120131.28,"3860299"
"https://tbankrot.ru/item?id=3860298","47:14:0901004:1697","110","230",36039.38,120131.28,"3860298"
"https://tbankrot.ru/item?id=3860295","47:14:0901004:1787","101","241",37763.06,125876.88,"3860295"
"https://tbankrot.ru/item?id=3860293","47:14:0901004:1963","95","205",32122.01,107073.36,"3860293"
"https://tbankrot.ru/item?id=3860147","47:14:0901004:1751","135","256",40113.36,133711.2,"3860147"
"https://tbankrot.ru/item?id=3860146","47:14:0901004:1754",,,39950.93,133169.76,"3860146"
"https://tbankrot.ru/item?id=3860145","47:14:0901004:1793","71","238",37292.83,124309.44,"3860145"
"https://tbankrot.ru/item?id=3860144","47:14:0901004:1780","132","203",31808.59,106028.64,"3860144"
"https://tbankrot.ru/item?id=3860143","47:14:0901004:1777","79","266",41680.22,138934.08,"3860143"
"https://tbankrot.ru/item?id=3860142","47:14:0901004:1702","144","350",54842.62,182808.72,"3860142"
"https://tbankrot.ru/item?id=3860141","47:14:0901004:1938","150","203",31808.59,106028.64,"3860141"
"https://tbankrot.ru/item?id=3860140","47:14:0901004:1791","126","205",32122.01,107073.36,"3860140"
"https://tbankrot.ru/item?id=3860139","47:14:0901004:1941","62","201",31495.18,104983.92,"3860139"
"https://tbankrot.ru/item?id=3860138","47:14:0901004:1901","147","311",48731.54,162438.48,"3860138"
"https://tbankrot.ru/item?id=3860137","47:14:0901004:1685","129","265",41523.62,138412.08,"3860137"
"https://tbankrot.ru/item?id=3860136","47:14:0901004:1750","134","263",41210.21,137367.36,"3860136"
"https://tbankrot.ru/item?id=3860135","47:14:0901004:1709","76","255",39956.76,133189.2,"3860135"
"https://tbankrot.ru/item?id=3860134","47:14:0901004:1885","82","304",47634.7,158782.32,"3860134"
"https://tbankrot.ru/item?id=3860132","47:14:0901004:1803","70","241",37763.06,125876.88,"3860132"
"https://tbankrot.ru/item?id=3860131","47:14:0901004:1694","131","230",36039.38,120131.28,"3860131"
"https://tbankrot.ru/item?id=3860129","47:14:0901004:1755","137","255",39956.76,133189.2,"3860129"
"https://tbankrot.ru/item?id=3860128","47:14:0901004:1682","73","229",35882.57,119608.56,"3860128"
"https://tbankrot.ru/item?id=3860126","47:14:0901004:1747","60",,40426.78,134755.92,"3860126"
"https://tbankrot.ru/item?id=3860125","47:14:0901004:1752","111",,39956.76,133189.2,"3860125"
"https://tbankrot.ru/item?id=3860124","47:14:0901004:2066","128","2588",405521.21,1351737.36,"3860124"
"https://tbankrot.ru/item?id=3860123","47:14:0901004:1900","64","309",48418.13,161393.76,"3860123"
"https://tbankrot.ru/item?id=3860122","47:14:0901004:1937","149","204",31965.41,106551.36,"3860122"
"https://tbankrot.ru/item?id=3860121","47:14:0901004:1788","125","241",37763.06,125876.88,"3860121"
"https://tbankrot.ru/item?id=3860120","47:14:0901004:1693","78",,36039.38,120131.28,"3860120"
"https://tbankrot.ru/item?id=3860119","47:14:0901004:1753","136","255",39956.76,133189.2,"3860119"
"https://tbankrot.ru/item?id=3860118","47:14:0901004:1794","72",,37292.83,124309.44,"3860118"
"https://tbankrot.ru/item?id=3860117","47:14:0901004:1785","133","241",37763.06,125876.88,"3860117"
"https://tbankrot.ru/item?id=3860116","47:14:0901004:1765","69",,41837.04,139456.8,"3860116"
"https://tbankrot.ru/item?id=3860115","47:14:0901004:1692","75",,36039.38,120131.28,"3860115"
"https://tbankrot.ru/item?id=3860114","47:14:0901004:1883","139","302",47321.28,157737.6,"3860114"
"https://tbankrot.ru/item?id=3860113","47:14:0901004:1783","81",,37763.06,125876.88,"3860113"
"https://tbankrot.ru/item?id=3860112","47:14:0901004:1748","146","258",40426.78,134755.92,"3860112"
"https://tbankrot.ru/item?id=3860111","47:14:0901004:1700","143","243",38076.26,126920.88,"3860111"
"https://tbankrot.ru/item?id=3860110","47:14:0901004:1899","63",,48104.71,160349.04,"3860110"
"https://tbankrot.ru/item?id=3860109","47:14:0901004:1786","124","241",37763.06,125876.88,"3860109"
"https://tbankrot.ru/item?id=3860108","47:14:0901004:1966","148","215",33688.87,112296.24,"3860108"
"https://tbankrot.ru/item?id=3860105","47:14:0901004:1715","77","269",42150.46,140501.52,"3860105"
"https://tbankrot.ru/item?id=3860104","47:14:0901004:1949","142","196",30711.74,102372.48,"3860104"
"https://tbankrot.ru/item?id=3860103","47:14:0901004:1756","138","255",39956.76,133189.2,"3860103"
"https://tbankrot.ru/item?id=3860102","47:14:0901004:1737","59","245",38389.68,127965.6,"3860102"
"https://tbankrot.ru/item?id=3860101","47:14:0901004:1710","130","262",41053.61,136845.36,"3860101"
"https://tbankrot.ru/item?id=3860100","47:14:0901004:2071","127","2198",344410.92,1148036.4,"3860100"
"https://tbankrot.ru/item?id=3860096","47:14:0901004:1688","74","243",38076.26,126920.88,"3860096"
"https://tbankrot.ru/item?id=3860095","47:14:0901004:1705","145","244",38233.08,127443.6,"3860095"
"https://tbankrot.ru/item?id=3860094","47:14:0901004:1779","80","327",51238.66,170795.52,"3860094"
"https://tbankrot.ru/item?id=3859942","47:14:0901004:1939","151","203",31808.59,106028.64,"3859942"
"https://tbankrot.ru/item?id=3859941","47:14:0901004:1800","152","238",37292.83,124309.44,"3859941"
"https://tbankrot.ru/item?id=3859940","47:14:0901004:1792","153","211",33062.26,110207.52,"3859940"
"https://tbankrot.ru/item?id=3859939","47:14:0901004:2062","154","327",51238.66,170795.52,"3859939"
"https://tbankrot.ru/item?id=3859938","47:14:0901004:2077","155","287",44970.77,149902.56,"3859938"
"https://tbankrot.ru/item?id=3859937","47:14:0901004:2060","156","305",47791.3,159304.32,"3859937"
"https://tbankrot.ru/item?id=3859936","47:14:0901004:2057","157","274",42933.89,143112.96,"3859936"
"https://tbankrot.ru/item?id=3859926","47:14:0901004:1744","44","258",40426.78,134755.92,"3859926"
"https://tbankrot.ru/item?id=3859924","47:14:0901004:1766","123",,41837.04,139456.8,"3859924"
"https://tbankrot.ru/item?id=3859923","47:14:0901004:1722","164","232",36352.8,121176,"3859923"
"https://tbankrot.ru/item?id=3859921","47:14:0901004:1954","47","198",31025.16,103417.2,"3859921"
"https://tbankrot.ru/item?id=3859919","47:14:0901004:1950","120",,28831.46,96104.88,"3859919"
"https://tbankrot.ru/item?id=3859916","47:14:0901004:1741","117",,36822.82,122742.72,"3859916"
"https://tbankrot.ru/item?id=3859915","47:14:0901004:2052","158","288",45127.58,150425.28,"3859915"
"https://tbankrot.ru/item?id=3859914","47:14:0901004:1773","167","266",41680.22,138934.08,"3859914"
"https://tbankrot.ru/item?id=3859912","47:14:0901004:1946","46","198",31025.16,103417.2,"3859912"
"https://tbankrot.ru/item?id=3859911","47:14:0901004:1690","161","255",39956.76,133189.2,"3859911"
"https://tbankrot.ru/item?id=3859909","47:14:0901004:1711","163","253",39643.34,132144.48,"3859909"
"https://tbankrot.ru/item?id=3859908","47:14:0901004:1962","119","204",31965.41,106551.36,"3859908"
"https://tbankrot.ru/item?id=3859906","47:14:0901004:1725","166","241",37763.06,125876.88,"3859906"
"https://tbankrot.ru/item?id=3859905","47:14:0901004:1684","160","233",36509.4,121698,"3859905"
"https://tbankrot.ru/item?id=3859903","47:14:0901004:1757","122","255",40598.93,135329.76,"3859903"
"https://tbankrot.ru/item?id=3859902","47:14:0901004:1768","45",,41837.04,139456.8,"3859902"
"https://tbankrot.ru/item?id=3859901","47:14:0901004:1776","168","266",41680.22,138934.08,"3859901"
"https://tbankrot.ru/item?id=3859900","47:14:0901004:1724","165","241",37763.06,125876.88,"3859900"
"https://tbankrot.ru/item?id=3859899","47:14:0901004:1742","118","258",40426.78,134755.92,"3859899"
"https://tbankrot.ru/item?id=3859890","47:14:0901004:1732","121","245",38389.68,127965.6,"3859890"
"https://tbankrot.ru/item?id=3859889","47:14:0901004:1730","162","220",34472.52,114908.4,"3859889"
"https://tbankrot.ru/item?id=3859888","47:14:0901004:1683","159","231",36195.98,120653.28,"3859888"
"https://tbankrot.ru/item?id=3859574","47:14:0901004:1935","48",,25697.74,85659.12,"3859574"
"https://tbankrot.ru/item?id=3859573","47:14:0901004:1772","49","266",41680.22,138934.08,"3859573"
"https://tbankrot.ru/item?id=3859572","47:14:0901004:1686","50","243",38076.26,126920.88,"3859572"
"https://tbankrot.ru/item?id=3859571","47:14:0901004:1728","51",,37763.06,125876.88,"3859571"
"https://tbankrot.ru/item?id=3859570","47:14:0901004:1729","52","241",37763.06,125876.88,"3859570"
"https://tbankrot.ru/item?id=3859568","47:14:0901004:1719","54",,41367.02,137890.08,"3859568"
"https://tbankrot.ru/item?id=3859567","47:14:0901004:1723","55","241",37763.06,125876.88,"3859567"
"https://tbankrot.ru/item?id=3859566","47:14:0901004:1884","56","303",47477.88,158259.6,"3859566"
"https://tbankrot.ru/item?id=3859565","47:14:0901004:1888","57",,44344.15,147813.84,"3859565"
"https://tbankrot.ru/item?id=3859564","47:14:0901004:1698","58","230",36039.38,120131.28,"3859564"
"https://tbankrot.ru/item?id=3859563","47:14:0901004:1965","65","241",32435.42,108118.08,"3859563"
"https://tbankrot.ru/item?id=3859562","47:14:0901004:1951","66",,23190.62,77302.08,"3859562"
"https://tbankrot.ru/item?id=3859561","47:14:0901004:1956","67","200",31338.58,104461.92,"3859561"
"https://tbankrot.ru/item?id=3859560","47:14:0901004:1960","68","287",31338.58,104461.92,"3859560"
"https://tbankrot.ru/item?id=3859559","47:14:0901004:1872","113","287",44970.77,149902.56,"3859559"
"https://tbankrot.ru/item?id=3859558","47:14:0901004:1873","114",,45127.58,150425.28,"3859558"
"https://tbankrot.ru/item?id=3859557","47:14:0901004:1799","115","238",37292.83,124309.44,"3859557"
"https://tbankrot.ru/item?id=3859556","47:14:0901004:1735","116","245",38389.68,127965.6,"3859556"
"https://tbankrot.ru/item?id=3859555","47:14:0901004:1782","169","241",37763.06,125876.88,"3859555"
"https://tbankrot.ru/item?id=3859554","47:14:0901004:1890","170","287",44970.77,149902.56,"3859554"
"https://tbankrot.ru/item?id=3859553","47:14:0901004:1706","171","250",39173.33,130577.76,"3859553"
"https://tbankrot.ru/item?id=3859552","47:14:0901004:1771","172","267",41837.04,139456.8,"3859552"
"https://tbankrot.ru/item?id=3859551","47:14:0901004:1940","173","202",31651.99,105506.64,"3859551"
"https://tbankrot.ru/item?id=3859550","47:14:0901004:1959","174","202",31651.99,105506.64,"3859550"
"https://tbankrot.ru/item?id=3859549","47:14:0901004:1961","175","204",31965.41,106551.36,"3859549"
"https://tbankrot.ru/item?id=3859548","47:14:0901004:1964","176","206",32278.82,107596.08,"3859548"
"https://tbankrot.ru/item?id=3859547","47:14:0901004:1955","177","199",31181.98,103939.92,"3859547"
"https://tbankrot.ru/item?id=3859546","47:14:0901004:1948","178","196",30711.74,102372.48,"3859546"
"https://tbankrot.ru/item?id=3859545","47:14:0901004:1758","179","232",36352.8,121176,"3859545"
"https://tbankrot.ru/item?id=3859544","47:14:0901004:1764","180","267",41837.04,139456.8,"3859544"
"https://tbankrot.ru/item?id=3859543","47:14:0901004:1802","181","259",40583.38,135277.92,"3859543"
"https://tbankrot.ru/item?id=3859542","47:14:0901004:2054","182","283",44353.87,147846.24,"3859542"
"https://tbankrot.ru/item?id=3859541","47:14:0901004:2061","183","311",48731.54,162438.48,"3859541"
"https://tbankrot.ru/item?id=3859540","47:14:0901004:2075","184","7",1096.85,3656.16,"3859540"
"https://tbankrot.ru/item?id=3859539","47:14:0901004:2073","185","3004",470705.47,1569018.24,"3859539"
"https://tbankrot.ru/item?id=3859538","47:14:0901004:2074","186","3323",520690.46,1735634.88,"3859538"
"https://tbankrot.ru/item?id=3859537","47:14:0901004:2067","187","262",41053.61,136845.36,"3859537"
"https://tbankrot.ru/item?id=3859536","47:14:0901004:2069","188","286",44814.17,149380.56,"3859536"
"https://tbankrot.ru/item?id=3859535","47:14:0901004:2076","189","3203",501887.23,1672957.44,"3859535"
"https://tbankrot.ru/item?id=3859534","47:14:0901004:2078","190","288",45127.58,150425.28,"3859534"
"https://tbankrot.ru/item?id=3859523","47:14:0901004:1784","41","241",37763.06,125876.88,"3859523"
"https://tbankrot.ru/item?id=3859519","47:14:0901004:1774","38","267",41837.04,139456.8,"3859519"
"https://tbankrot.ru/item?id=3859518","47:14:0901004:1734","43","245",38389.68,127965.6,"3859518"
"https://tbankrot.ru/item?id=3859517","47:14:0901004:1727","35","241",37763.06,125876.88,"3859517"
"https://tbankrot.ru/item?id=3859515","47:14:0901004:1699","37","230",36039.38,120131.28,"3859515"
"https://tbankrot.ru/item?id=3859512","47:14:0901004:2068","192","287",44970.77,149902.56,"3859512"
"https://tbankrot.ru/item?id=3859509","47:14:0901004:1689","34","245",38389.68,127965.6,"3859509"
"https://tbankrot.ru/item?id=3859508","47:14:0901004:1781","40","262",41053.61,136845.36,"3859508"
"https://tbankrot.ru/item?id=3859507","47:14:0901004:1775","39",,41837.04,139456.8,"3859507"
"https://tbankrot.ru/item?id=3859261","47:14:0901004:1714","36",,40740.19,135800.64,"3859261"
"https://tbankrot.ru/item?id=3859259","47:14:0901004:1887","42",,42150.46,140501.52,"3859259"
"https://tbankrot.ru/item?id=3859258","47:14:0901004:2070","191","329",51551.86,171839.52,"3859258"
"https://tbankrot.ru/item?id=3859253","47:14:0901004:1789","33",,37763.06,125876.88,"3859253"
"https://tbankrot.ru/item?id=3859244","47:14:0901004:1958","28","201",31495.18,104983.92,"3859244"
"https://tbankrot.ru/item?id=3859243","47:14:0901004:1936","29","195",30555.14,101850.48,"3859243"
"https://tbankrot.ru/item?id=3859242","47:14:0901004:1902","30",,52648.7,175495.68,"3859242"
"https://tbankrot.ru/item?id=3859241","47:14:0901004:1762","31","267",41837.04,139456.8,"3859241"
"https://tbankrot.ru/item?id=3859240","47:14:0901004:1767","32","267",41837.04,139456.8,"3859240"
"https://tbankrot.ru/item?id=3859032","47:14:0901004:1718","4","269",42150.46,140501.52,"3859032"
"https://tbankrot.ru/item?id=3859031","47:14:0901004:1778","5","267",41837.04,139456.8,"3859031"
"https://tbankrot.ru/item?id=3859030","47:14:0901004:1945","12",,31181.98,103939.92,"3859030"
"https://tbankrot.ru/item?id=3859029","47:14:0901004:1952","13","188",29458.3,98194.32,"3859029"
"https://tbankrot.ru/item?id=3859028","47:14:0901004:1957","14","200",31338.58,104461.92,"3859028"
"https://tbankrot.ru/item?id=3859027","47:14:0901004:1761","15",,41837.04,139456.8,"3859027"
"https://tbankrot.ru/item?id=3859026",,,,,0,
"https://tbankrot.ru/item?id=3859025",,,,,0,
"https://tbankrot.ru/item?id=3859024",,,,,0,
"https://tbankrot.ru/item?id=3859023",,,,,0,
"https://tbankrot.ru/item?id=3859022",,,,,0,
"https://tbankrot.ru/item?id=3859021",,,,,0,
"https://tbankrot.ru/item?id=3859020",,,,,0,
"https://tbankrot.ru/item?id=3859019",,,,,0,
"https://tbankrot.ru/item?id=3859018",,,,,0,
"https://tbankrot.ru/item?id=3859017",,,,,0,
"https://tbankrot.ru/item?id=3859016",,,,,0,
"https://tbankrot.ru/item?id=3859015",,,,,0,
"https://tbankrot.ru/item?id=3858952",,,,,0,
"https://tbankrot.ru/item?id=3858951",,,,,0,
"https://tbankrot.ru/item?id=3858950",,,,,0,
"https://tbankrot.ru/item?id=3858949",,,,,0,
"https://tbankrot.ru/item?id=3858947",,,,,0,
"https://tbankrot.ru/item?id=3858946",,,,,0,
"https://tbankrot.ru/item?id=3858941",,,,,0,